Date,Bangkok,Kanchanaburi,Kamphaeng Phet,Khon Kaen,Chanthaburi,Chachoengsao,Chonburi,Trang,Trat,Tak,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Si Thammarat,Nakhon Sawan,Nonthaburi,Narathiwat,Nan,Buriram,Pathum Thani,Prachuap Khiri Khan,Prachinburi,Phra Nakhon Si Ayutthaya,Phayao,Phichit,Phitsanulok,Phuket,Mukdahan,Yala,Rayong,Ratchaburi,Lopburi,Lampang,Lamphun,Sakon Nakhon,Songkhla,Satun,Samut Prakan,Samut Songkhram,Samut Sakhon,Saraburi,Sa Kaeo,Suphan Buri,Surat Thani,Sukhothai,Nong Khai,Udon Thani,Uttaradit,Uthai Thani,Ubon Ratchathani,Chiang Rai,Chiang Mai,Phetchabun,Loei,Mae Hong Son,Phrae
3/27/2018,17.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2018,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2018,11.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2018,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2018,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018,21.08333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2018,20.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2018,17.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2018,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2018,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
